,index,english,translated_from_chinese
1,1277,I have to go to sleep.,It's time for me to go to bed.
3,1282,Muiriel is 20 now.,Muiriel is 20 now.
4,1283,"The password is ""Muiriel"".","The password is ""Muiriel."""
5,1284,I will be back soon.,I'll be back soon.
6,1286,I'm at a loss for words.,I don't know what to say.
7,1287,This is never going to end.,This will never end.
8,1288,I just don't know what to say.,I just don't know what to say... but I just don't know what to say.
10,1290,I was in the mountains.,I used to be in the mountains.
11,1291,Is it a recent picture?,Is that a close-up?
12,1292,I don't know if I have the time.,I don't know if I have time.
14,1295,You're in better shape than I am.,Your body is better than mine.
15,1296,You are in my way.,You're blocking my way.
16,1298,This will cost €30.,Thirty euros for this one.
17,1299,I make €100 a day.,I make 100 euros a day.
20,1302,That won't happen.,That's not gonna happen.
22,1304,I'll do my best not to disturb your studying.,I'll try not to disturb your study.
25,1308,I miss you.,I miss you.
26,1309,I'll call them tomorrow when I come back.,I'll contact them when I get back tomorrow.
28,1311,You should sleep.,You should go to bed now.
29,1312,I'm going to go.,I'm leaving.
30,1313,I told them to send me another ticket.,I asked them to send me another ticket.
33,1316,I once wanted to be an astrophysicist.,I used to want to be a space physicist.
34,1317,I never liked biology.,I've never liked biology.
35,1318,The last person I told my idea to thought I was nuts.,The last person to listen to my idea thinks I'm crazy.
37,1320,It is unfortunately true.,It's too bad it's true.
39,1322,Most people think I'm crazy.,Most people think I'm crazy.
42,1325,He's kicking me!,He's kicking me!
43,1326,Are you sure?,Are you sure?
45,1328,"Oh, there's a butterfly!","Oh, there's a butterfly!"
46,1329,Hurry up.,"Come on, come on, come on, come on, come on."
47,1330,It doesn't surprise me.,It doesn't surprise me.
49,1333,It depends on the context.,That depends on the situation.
51,1335,That's the stupidest thing I've ever said.,That's the stupidest thing I've ever said.
53,1337,"When I grow up, I want to be a king.",I grew up wanting to be king.
56,1340,So what?,So what?
61,1345,I've always wondered what it'd be like to have siblings.,I always wanted to have brothers and sisters.
63,1347,It would take forever for me to explain everything.,"Even if I say three days and three nights, I'm afraid I can't explain everything."
64,1348,That's because you're a girl.,That's because you're a girl.
79,1363,I thought you liked to learn new things.,I thought you liked learning new things.
80,1364,Most people write about their daily life.,Most people write about their daily lives.
82,1366,"In order to do that, you have to take risks.","To do that, you need to take risks."
84,1368,Why do you ask?,Why do you ask?
89,1373,How long did you stay?,How long have you been here?
95,1379,That is intriguing.,That's funny.
102,1386,I didn't like it.,I didn't like it.
111,1395,I have to go to bed.,It's time for me to go to bed.
118,1402,That wasn't my intention.,That's not what I meant.
119,1403,Thanks for your explanation.,Thank you for the explanation.
123,1408,I don't know what you mean.,I don't know what you mean.
132,1417,I need to ask you a silly question.,I have to ask you a stupid question.
136,1421,No one will know.,No one's gonna know.
138,1423,It seems interesting to me.,It's funny to me!
140,1425,I like candlelight.,I love candlelight.
149,1434,I love you.,I love you.
151,1436,I am curious.,I'm curious.
152,1437,Congratulations!,"Congratulations, congratulations, congratulations, congratulations, congratulations, congratulations!"
153,1438,I don't want to wait that long.,I don't want to wait that long.
154,1439,Why don't you come visit us?,Why don't you come see us?
159,1445,I hate chemistry.,I hate chemistry.
165,1451,I have nothing better to do.,I don't have anything better to do.
166,1452,I can't explain it either.,I can't explain it either.
167,1453,Everyone has strengths and weaknesses.,Everyone has his strengths and weaknesses.
172,1459,I don't know if I still have it.,I don't know if I have any.
174,1461,Don't underestimate my power.,Don't underestimate my power.
175,1462,My mom doesn't speak English very well.,My mother didn't speak very well in English.
181,1468,Everyone wants to meet you. You're famous!,Everyone wants to see you. You're so famous!
194,1481,"Tomorrow, he will land on the moon.",Tomorrow he'll land on the moon.
195,1482,I don't speak Japanese.,I don't speak Japanese.
197,1484,Nobody understands me.,Nobody understands me.
198,1485,I learned to live without her.,I learned not to live on her.
200,1487,I have too many things on my mind these days.,I've had too much in my head these past few days.
201,1488,I just wanted to check my email.,I just want to check my e-mail.
209,1496,It would take me too much time to explain to you why it's not going to work.,I'll explain to you why it doesn't take a lot of time.
214,1501,It can't be!,It can't be!
217,1504,Would you like something to drink?,Do you want something to drink?
234,1521,Please don't cry.,Please don't cry.
243,1530,Allen is a poet.,Allen is a poet.
248,1535,"If you see a mistake, then please correct it.","If you find something wrong, please correct it."
253,1540,Why don't we go home?,Why don't we go home?
257,1544,One million people lost their lives in the war.,One million people lost their lives in the war.
270,1561,Did you miss me?,Did you miss me?
272,1564,Thank you very much!,Thank you very much.
275,1567,It's a surprise.,It's a surprise.
276,1568,That's a good idea!,That's a great idea!
285,1578,They say love is blind.,People say love is blind.
296,1590,Do you speak Italian?,Do you speak Italian?
299,1594,May I ask a question?,Can I ask you a question?
307,1602,You'll forget about me someday.,One day you'll forget me.
308,1603,That is rather unexpected.,It's a surprise.
311,1606,I couldn't have done it without you. Thank you.,"I couldn't have done it without you, thank you."
319,1615,Do whatever he tells you.,"Whatever he tells you, you do it."
323,1619,May I talk to Ms. Brown?,Can I talk to Miss Brown?
326,1622,What do you want?,What do you want?
333,1630,I have a dream.,I have a dream.
347,1644,You look stupid.,You look stupid.
349,1646,My name is Jack.,I'm Jack.
350,1647,I like it very much.,I love it very much.
352,1649,How do you say that in Italian?,What does that word say in Italian?
354,1651,Is it far from here?,Is it far from here?
355,1652,These things aren't mine!,These things aren't mine!
357,1654,Would you like to dance with me?,Would you like to dance with me?
359,1659,It's not my fault!,It's not my fault!
363,1663,Where are the showers?,Where's the bathroom?
366,1666,I have lost my wallet.,I dropped my wallet.
376,1679,Thanks to you I've lost my appetite.,"Thanks to you, I've lost my appetite."
386,1689,It is very hot today.,It's hot today.
394,1698,Look at me when I talk to you!,Look at me when I'm talking to you!
401,1705,I'm tired.,I'm tired.
404,1709,When do we arrive?,When do we get there?
405,1710,"The check, please.",Pay the bill.
407,1712,I have a headache.,I have a headache.
411,1716,How are you? Did you have a good trip?,How are you? Did you have a good trip?
412,1717,I don't feel well.,I don't feel well.
413,1718,Call the police!,Call the police!
414,1719,It's too expensive!,It's too expensive!
418,1723,Merry Christmas!,Merry Christmas!
439,1744,"The past can only be known, not changed. The future can only be changed, not known.","We can look back on the past, but we can't change it; we can change the future, but we can't predict it."
449,1754,I'm starving!,I'm starving!
460,1765,I'm undressing.,I'm taking off my clothes.
466,1771,The wind calmed down.,The wind stopped.
471,1776,"Who searches, finds.",The searcher will eventually find him.
472,1777,Rome wasn't built in a day.,Rome wasn't built in a day.
478,1783,That was the best day of my life.,It was the most beautiful day of my life.
479,1784,I don't understand German.,I don't speak German.
480,1785,I made my decision.,I've made up my mind.
481,1786,I give you my word.,I promise you.
507,1813,It's cold.,It's cold.
508,1814,I'm thirsty.,I'm thirsty.
522,1829,Life is beautiful.,Life is beautiful.
554,1862,It is raining.,"It's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining."
568,1876,I went to the zoo yesterday.,I went to the zoo yesterday.
713,2022,I dreamt about you.,I dreamt about you.
715,2024,I won't lose!,I won't lose!
731,2040,I'm almost done.,I'm almost done.
752,2061,It is never too late to learn.,"Live to old, learn to old."
757,2066,What are you talking about?,What are you talking about?
767,2077,"Thank you. ""You're welcome.""","Thank you. ""You're welcome."""
769,2079,Winter is my favorite season.,Winter is my favorite season.
786,2096,He disappeared without a trace.,He disappeared without leaving a trace.
801,2111,She was wearing a black hat.,She's wearing a black hat.
824,2136,Where is the bathroom?,Where's the bathroom?
856,2168,Where are you?,Where are you?
862,2175,No way!,No way!
902,2216,Don't forget about us!,Don't forget us!
934,2249,I need your advice.,I need your advice.
987,2302,Whose is this?,Whose is this?
995,2310,Do you like rap?,Do you like rap music?
1003,2319,I don't know him.,I don't know him.
1006,2322,It's not important.,It doesn't matter.
1007,2323,I don't care.,I don't care.
1012,2329,Fifty-two per cent of British women prefer chocolate to sex.,Fifty-two percent of British women like chocolate over sex.
1026,2344,Better late than never.,It's better to be late than never.
1027,2345,"Like father, like son.",And the father shall have his son.
1030,2350,All cats are grey in the dark.,Cats are gray in the dark.
1032,2352,No news is good news.,No news is good news.
1048,2368,He's a good person.,He's a good man.
1050,2370,Enjoy your meal!,Bon appétit!
1057,2378,Make yourself at home.,Just be at home.
1068,2389,I don't want it anymore.,I don't want it anymore.
1080,2401,I thought it was true.,I thought it was true.
1088,2409,I went to drink a beer with friends.,I went to have a beer with a friend.
1091,2412,They quarreled.,They had a fight.
1092,2413,I ate caviar.,I ate caviar.
1097,2418,How much is it?,How much is this?
1101,2423,Did you leave a tip?,Did you guys tip?
1102,2424,Don't forget the ticket.,Don't forget the tickets.
1107,2429,I want you to tell me the truth.,I want you to tell me the truth.
1115,2437,I talked to friends.,I'm talking to my friends.
1122,2444,Tell me what happened.,Tell me what happened.
1127,2449,It's more difficult than you think.,It's harder than you think.
1130,2453,I don't agree with him.,I disagree with him.
1150,2474,I'd rather be a bird than a fish.,I'd rather be a bird than a fish.
1169,5944,Tell me about it!,Tell me about it.
1176,5999,I have to take medicine.,I have to take the pills.
1182,6019,I work even on Sunday.,I even work on Sundays.
1184,6024,It happened a long time ago.,This happened many years ago.
1185,6026,Where have you been?,Where have you been?
1188,6034,It's been snowing all night.,It snowed all night.
1198,6054,"He was born on July 28th, 1888.",He was born on 28 July 1888.
1207,6130,She is mad at me.,She's mad at me.
1249,9905,You can rely on him.,You can count on him.
1260,13335,Did you meet her?,Did you touch her?
1333,15859,Can you ride a horse?,Do you know how to ride?
1354,15882,Do you live here?,Do you live here?
1376,15904,Who are you waiting for?,Who are you waiting for?
1384,15913,I'm proud of you.,I'm proud of you.
1389,15918,You look bored.,You look bored.
1460,15993,You work hard.,You work hard.
1477,16010,Are you writing a letter?,Are you writing a letter?
1487,16020,Can you drive a car?,Do you know how to drive?
1490,16023,You should apologize.,You should apologize.
1580,16117,Why were you absent yesterday?,Why were you absent yesterday?
1584,16122,You must do your best.,You have to do the best.
1591,16130,You look pale today.,You look pale today.
1614,16159,You have to go.,You guys have to go.
1616,16161,You'd better not go.,You better not go.
1619,16164,Are you happy?,Are you happy?
1670,16216,You broke the rule.,You broke the rules.
1678,16224,You look pale.,You look pale.
1699,16246,Will you stay at home?,Will you stay home?
1708,16255,What are you looking for?,What are you looking for?
1709,16256,What are you looking at?,What are you looking at?
1711,16259,What do you intend to do?,What do you want to do?
1714,16263,What do you want to be?,What do you want to be?
1715,16265,What will you have?,What will you have?
1718,16268,What woke you up?,What woke you up?
1731,16283,You dropped your pencil.,You dropped your pencil.
1736,16289,Do you study English?,Do you learn English?
1744,16300,Can you swim?,Can you swim?
1859,16428,Can you speak French?,Do you speak French?
1877,16449,Do you want anything?,Do you want anything?
1899,16475,You look very tired.,You look very tired.
1912,16491,How about you?,What about you?
1913,16492,What are you doing?,What are you doing?
1941,16525,You have many books.,You have a lot of books.
2001,16590,Did you watch the game?,Did you see the game?
2116,16715,You can study here.,You can learn here.
2144,16747,Aren't you happy?,Aren't you happy?
2168,16774,What time do you usually get up?,When do you usually get up?
2328,16945,Compare your answer with Tom's.,Compare your and Tom's answers.
2331,16948,Your answer is right.,Your answer's right.  Your answer's right.  Your answer's right.
2351,16969,May I use your phone?,Can I borrow your phone?
2375,16994,It's none of your business.,It's none of your business.
2376,16996,Mind your own business!,Mind your own business.
2392,17013,Go back to your seat.,Go back to your seat.
2440,17065,Write your address here.,Write down your address here.
2447,17073,I received your letter yesterday.,I got your letter yesterday.
2450,17076,Are your hands clean?,Is your hand clean?
2472,17101,Your bicycle is similar to mine.,Your bike is very similar to mine.
2474,17103,Is your watch correct?,Is your watch okay?
2480,17110,Where are your things?,"Where's your stuff, where's your stuff, where's your stuff, where's your stuff, where's your stuff?"
2516,17150,Where do you come from?,Where are you from?
2555,17190,Make your choice.,Make your choice.
2562,17198,I know what you mean.,I know what you mean.
2643,17283,Where is your school?,Where's your school?
2703,17344,You're on the right track.,You're on the right track.
2705,17347,Your time is up.,Your time is up.
2713,17355,Your pen is better than mine.,Your pen is better than mine.
2715,17357,Your plan sounds great.,Your plan sounds good.
2749,17395,Your cake is delicious.,Your cake is delicious.
2754,17400,Here is your bag.,Here's your bag.
2774,17421,I believe you.,I believe you.
2776,17423,I don't agree with you.,I disagree with you.
2880,17534,You deserve the prize.,You should get this bonus.
2884,17538,Green suits you.,Green suits you.
3032,17707,I want you.,I want you.
3055,17735,I need you.,I need you.
3082,17764,Show me what you bought.,Let me see what you bought.
3110,17795,I guess you are right.,I guess you're right.
3143,17829,I love you more than you love me.,I love you more than you love me.
3185,17881,I know you are rich.,I know you're rich.
3310,18017,I don't blame you.,I don't blame you.
3361,18073,You don't understand.,You don't understand.
3552,18278,The sky is full of stars.,The sky is full of stars.
3619,18356,Stop grumbling.,Stop complaining.
3758,18505,Money is the root of all evil.,Money is the source of all sin.
3781,18531,I wish I were rich.,I hope I'm rich.
3870,18631,Money talks.,Money is almighty.
4377,19170,Don't be afraid.,Don't be afraid.
4540,19342,"Fish, please.","Fish, thank you."
4770,19587,Call an ambulance.,Call an ambulance.
4896,19729,Haste makes waste.,"If you want to do it quickly, you won't be able to do it."
4900,19733,Please hurry.,Please hurry.
5007,19847,I haven't seen him for a long time.,I haven't seen him in a long time.
5224,20086,All that glitters is not gold.,"It's not always gold that glows, it's not enough to look at the surface."
5235,20097,You are beautiful.,You're beautiful.
5418,20288,I'm not feeling well.,I don't feel well.
5471,20344,Take it easy.,Take it easy.
5504,20379,Are you crazy?,Are you crazy?
5514,20392,Never mind.,It doesn't matter.
5520,20398,Forget it.,Don't worry about it.
5526,20405,I'm exhausted.,I'm tired.
5823,20719,Look out!,Watch out!
6087,21003,I want something sweet.,I want something sweet.
6174,21098,"Check, please.",Please close the account.
6197,21124,I feel cold.,I feel cold.
6326,21259,It's a piece of cake.,Piece of cake.
6333,21267,Have fun.,Have fun.
6711,21678,Do you remember?,Do you remember?
6961,21938,I want to go abroad.,I want to go abroad.
7080,22061,Open up.,Open the door!
7136,22121,All aboard!,Please get on board!
7137,22122,"Good morning, everybody.","Good morning, everyone."
8687,23749,Flowers bloom.,Flowers bloom.
8818,23884,There is no smoke without fire.,No wind and no waves.
8859,23929,Do you like singing?,Do you like singing?
8883,23959,I'm free.,I'm free.
9000,24081,How is your family?,Is everyone all right in your family?
9339,24435,Who do you think you are?,Who do you think you are?
9511,24616,Nothing happened.,Nothing happened.
9546,24657,Why didn't you come?,Why didn't you come?
9561,24674,What did you buy?,What did you buy?
9563,24676,What are you reading?,What are you looking at?
9583,24698,What are you thinking about?,What are you thinking?
9588,24706,What do you mean?,What do you mean?
9624,24759,What do you want to do?,What do you want?
9629,24765,What would you like to drink?,What do you want?
9732,24885,What a pity!,"That's too bad, that's too bad, that's too bad, that's too bad!"
9795,24958,Why me?,Why me?
9833,25000,What are you going to do?,What are you doing?
9858,25029,What's new?,Anything new?
9915,25095,Can I help you?,Can I help you?
9926,25106,What do you want me to do?,What do you want me to do?
9976,25164,What's up?,What the hell?
10031,25229,Would you like anything to eat?,Do you want something to eat?
10101,25313,Anything new?,Anything new?
10274,25498,How should I know?,How do I know?
10279,25504,I'm a free man.,I'm a free man.
10284,25509,I'm a hero.,I'm a hero.
10301,25528,Don't worry about me.,Don't worry about me.
10307,25534,Leave me alone!,Leave me alone!
10311,25538,Are you talking to me?,Are you talking to me?
10406,25640,The king abused his power.,The king has abused his power.
10449,25684,Did you buy a round-trip ticket?,Did you buy a return ticket?
10682,25930,Action!,Let's go!
10706,25954,Draw a circle.,Draw a circle.
10903,26170,Can you speak English?,Do you speak English?
10995,26277,English is an international language.,English is an international language.
11099,26397,I wish I could swim.,I wish I could swim.
11336,26653,You are lying.,You're lying.
12245,27641,Leave me alone.,Leave me alone.
12400,27808,He didn't say a word.,He didn't say anything.
12586,28006,What did he say?,What did he say?
12698,28129,Wrong.,Wrong.
12727,28159,My stomach hurts.,"My stomach hurts, my stomach hurts, my stomach hurts."
13148,28607,Not bad.,Nice.
13494,28989,I like pizza very much.,I love pizza very much.
13554,29049,I am at home.,I'm at home.
14079,29600,Linda loves chocolate.,Linda likes chocolate.
14090,29612,I am eating an apple.,I'm eating an apple.
14108,29632,The apple fell from the tree.,That apple fell from the tree.
14125,29653,Lincoln died in 1865.,Lincoln died in 1865.
14219,29749,I'm listening to the radio.,I'm listening to the radio.
14232,29763,Turn on the radio.,Turn on the radio.
14311,29846,The lion is the king of the jungle.,Lions are kings of the jungle.
14382,29922,Listen carefully.,Listen carefully.
14483,30030,School starts in September in Europe.,European schools started in September.
14506,30054,Sweet dreams!,Have a good night's sleep.
14536,30085,Have a nice day.,Have a good day.
14575,30126,Drive slowly.,Drive slowly.
14751,30316,Hi! How are you?,"Hi, how are you?"
14824,30397,Louder.,"Louder, louder, louder."
14826,30399,"Louder, please.","Louder, please."
14958,30542,Definitely!,"Yes, of course!"
15238,30835,I wouldn't do that if I were you.,"If I were you, I wouldn't do that."
15358,30970,Are you there?,Are you there?
15690,31334,Time is up.,Time's up.
15703,31348,We have no time.,We don't have time.
15728,31380,I have to leave now.,I should go.
15737,31390,"No, thank you.","No, thank you."
15814,31476,"Could you repeat that, please?","Could you repeat that, please?"
15855,31522,Please show me another one.,Please show me the other one.
16000,31683,It's already seven.,It's seven o'clock now.
16038,31723,Try again.,Try again.
16201,31892,Mary is tall.,Mary's very tall.
16209,31900,Mary understands Chinese.,Mary understands Chinese.
16216,31907,Mary ran.,Mary ran away.
16371,32071,You're disgusting!,You're disgusting!
16803,32527,I agree completely.,I totally agree.
16844,32569,I don't know yet.,I don't know yet.
16903,32635,See you again.,Bye!
16937,32672,See you soon!,I'll see you later.
17093,32841,A friend in need is a friend indeed.,A friend who helps you when you need him is a real friend.
17588,33354,Take a taxi to the hotel.,Call the hotel.
17763,33536,I don't like coffee.,I don't like coffee.
17933,33712,I feel homesick.,I miss home.
17991,33771,Do you have a pen?,Do you have a pen?
18223,34011,Do your best.,Do what you can.
18989,34819,It's brand new.,It's brand-new.
19015,34846,"Two beers, please.","Two beers, please."
19153,34991,Do you like playing volleyball?,Do you like volleyball?
