,index,english,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german
1,1277,I have to go to sleep.,I need to get some sleep.,I have to go to bed. I have to go to bed.,I have to go to sleep.,I have to sleep now. I have to sleep.
3,1282,Muiriel is 20 now.,Muiriel is now 20 years old.,Muyiri is now 20 years old. Muyiri is 20 years old. Muyiriel is 20 years old. Muyiriel is 20 years old. Muyiriel is 20 years old. Muyiriel is 20 years old. Muyiriel is 20 years old. Muyiriel is now 20 years old.,Muiriel is 20 now.,Muiriel is now 20.
4,1283,"The password is ""Muiriel"".","The password is ""Muiriel.""","The password is ""Muiriel"".","The password is ""Muiriel"".","The password is ""Muiriel"". The password is ""Muiriel"". The password is ""Muiriel."
5,1284,I will be back soon.,I'll be right back.,I'll be right back. I'll be right back. I'll be right back. I'll be right back. I'll be back. I'll be right back. I'll be right back.,"I'll be back in a minute, I'll be back in a minute, I'll be back in a minute, I'll be back in a minute, I'll be right back.",I'll be back soon. I'll be back soon. I'll be back soon. I'll be back soon. I'll be back soon. I'll be back soon. I'll be back soon. I'll be back soon. I'll be back soon! I'll be back soon!
6,1286,I'm at a loss for words.,I don't have any words for it.,I can't find any words. I don't know what to say. I don't know what to say. I don't know what to say. I don't know what to say. I don't know what to say. I don't know what to say.,"I'm losing my words, I'm missing the words, I can't find the words, I'm missing the words.",I can't find words. I'm missing words. I don't know what to say. I'm speechless.
7,1287,This is never going to end.,This is never gonna end. This is never gonna end.,This will never end.? This will never end. 。 This will never end。,"It's never gonna end, it's never gonna end, it's never gonna end.",It's never gonna end. It's never gonna end. It's never gonna end! It's never gonna end.
8,1288,I just don't know what to say.,I just don't know what to say...,I don’t really know what to say. 。 I don’t know what to say。 I don’t know what to say。,"I just don't know what to say...I don't know what to say, just...I don't know what to say...I don't know what to say.",I just don't know what to say.
10,1290,I was in the mountains.,I was in the mountains.,I was in the mountains.,"I was in the mountains, I was in the mountains, I was in the mountains.",I was in the mountains.
11,1291,Is it a recent picture?,Is this a recent photo?,Is it a new picture?,Is this a recent photo?: Is this a recent photo?,Is this a current photo?
12,1292,I don't know if I have the time.,I don't know if I have time.,I don't know if I have time for that.,I don't know if I have time.,I don't know if I have time to do that. I don't know if I have time. I don't know if I have time.
