,index,english,translated_from_finnish,translated_from_dutch
0,1277,I have to go to sleep.,Minun musí jít nukkumaan. | Minun on mentävä nukkumaan. | Minun pitää jít nukkumaan.,I have to go to sleep.
1,1282,Muiriel is 20 now.,இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில்,Muiriel is now 20 years old.
2,1283,"The password is ""Muiriel"".","Salasana auf ""Muiriel"". | Se Salasana auf ""Muiriel"".","The password is ""Muiriel."""
3,1284,I will be back soon.,பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்:,I'm so back.
4,1286,I'm at a loss for words.,"Я знаю, что сказал. Я знаю, что сказал. Я знаю, что сказал. Я знаю, что сказал. Я знаю, что сказал. Я знаю, что сказал. Я знаю, что сказал.",I don't have words for it. | Words scare me.
5,1287,This is never going to end.,මේක කවදාවත්ම ඉවරයක් වෙන්නෙ නෑ. මේක කවදාවත්ම ඉවර වෙන්නෙ නෑ.,This is never going to end. | This is never going to end.
6,1288,I just don't know what to say.,"Já vím, co říkám. Já vím, co říkám. Já vím, co říkám.",I just don't know what to say. | I just don't know what to say.
7,1290,I was in the mountains.,Byl vuorilla. | Já olin vuorilla.,I was in the mountains.
8,1291,Is it a recent picture?,Is there a new photo? | Is there a new photo?,Is this a recent picture?
9,1292,I don't know if I have the time.,| En tiedä onko minulla tiempo. | En tiedä onko minulla tiempo.,I don't know if I have time. | I don't know if I have time for that.
10,1295,You're in better shape than I am.,ඔයා මට වඩා හොදින් ඉන්නවා.,You're in a better condition than I am.
11,1296,You are in my way.,Olet tielläni.,You're in the way. | You're in the way of me.
12,1298,This will cost €30.,Tohle platí třicet eur.,That's going to cost 30 bucks.
13,1299,I make €100 a day.,په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول.,I earn 100 dollars a day.
14,1302,That won't happen.,| Niin ei tapahdu.,That won't happen. | That won't happen.
