,index,english,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish
1,1277,I have to go to sleep.,I have to go to bed.,I have to go to bed. I have to go to bed.,I have to go to sleep. I have to go to bed.,I have to go to sleep.
3,1282,Muiriel is 20 now.,"Muriel is now 20 years old, Muriel is now 20.",Muiriel is 20 now. Muiriel is 20 now. Muiriel is 20 now. Muiriel is 20 now. Muiriel is 20 now.,Muelel is now 20 years old.,Muiriel is now 20 years old.
4,1283,"The password is ""Muiriel"".","The password is ""Muriel."" The password is ""Murriel"".","The password is ""Muiriel."" The password is ""Muiriel.""","The password is ""Muilel.""","The password is ""Muiriel"" and ""Muiriel"" is ""Muiriel"" or ""Muiriel"" or ""Muiriel"" or ""Muiriel"" or ""Muiriel"" or ""Muiriel"" or ""Muiriel"" or ""Muiriel"" or ""Muiriel"" or ""Muiriel"" or ""Muiriel"" or ""Muiriel"" or ""Muiriel"" or ""Muiriel"" or ""Muiriel"" or ""Muiriel"" or ""Muiriel"" or ""Muiriel"" or ""Muiriel"" or ""Muiriel"" or ""Muiriel."""
5,1284,I will be back soon.,I'll be right back. I'll be right back. I'll be right back.,I'll be right back. I'll be back soon. I'll be back soon. I'll be back soon. I'll be back soon. I'll be back soon. I'll be back soon.,I'll be right back. I'll be back soon. I'll be right back. I'll be right back. I'll be right back.,I'll be right back.
6,1286,I'm at a loss for words.,I don't know what to say.,I'm speechless. I'm speechless. I'm speechless.,I don't know what to say.,I'm speechless.
7,1287,This is never going to end.,It's never gonna end.,This will never end. □ This will never end.,There's no limit.,It's never gonna end.
8,1288,I just don't know what to say.,I don't know what to say. I just don't know what to say. I just don't know what to say.,I just don't know what to say. I just don't know what to say. I just don't know what to say. I just don't know what to say. I just don't know what to say.,I don't know what to say. I can't say much.,I just don't know what to say. I just don't know what to say...
10,1290,I was in the mountains.,I was in the mountains. I was in the mountains. I was in the mountains.,I was in the mountains. I was in the mountains.,I was in the mountains.,I was in the mountains.
11,1291,Is it a recent picture?,Is that a new picture?,Is it a recent photo?... Is it a recent picture? Is it a recent picture?,Is that a recent photo?,Is this an up-to-date picture?
12,1292,I don't know if I have the time.,I don't know if I have time.,I don't know if I have time.,I don't know if I have time.,I don't know if I have time.
14,1295,You're in better shape than I am.,You're in better shape than I am.,You're more in shape than I am. You're more in shape than I am. You're more in shape than I am. You're more in shape than I am. You're more in shape than I am. You're more in shape than I am.,"You're in a better position than me, aren't you?",You're in better shape than I am.
15,1296,You are in my way.,You're in my way!,You're on my side.,You're in my way. You're in my way.,You're in my way.
16,1298,This will cost €30.,"That'll be 30 euros, that'll be 30 euros, that'll be 30 euros.",It will cost 30 euros. It will cost 30 euros. It will cost 30 euros.,It'll be 30 euros.,It will cost €30.
17,1299,I make €100 a day.,I make 100 euros a day. I make 100 euros a day. I earn 100 euros a day.,Earning 100 euros per day. Earning 100€ per day. Earning 100€ per day. Earning 100€ per day. Earning 100€ per day. Earning 100€ per day. Earning 100€ per day. Earning 100€ per day.,I make 100 euros a day.,I make €100 a day.
20,1302,That won't happen.,That's not gonna happen.,That's not gonna happen. It's not gonna happen. It's not gonna happen.,That won't happen.,That's not gonna happen.
22,1304,I'll do my best not to disturb your studying.,I'll try not to interrupt your studies.,I'll do my best not to disturb your firm.,I'll try not to interfere with your study.,I'll try not to interfere with your studies.
25,1308,I miss you.,Miss you. I miss you. I miss you.,I miss you.........................................................................................................,I miss you. I miss you.,"I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you."
26,1309,I'll call them tomorrow when I come back.,I'll call them tomorrow when I get back.,I'll call them tomorrow when I get back. I'll call them tomorrow when I get back.,I'll call you tomorrow when I get home.,I'll call them tomorrow when I get back.
28,1311,You should sleep.,You should get some sleep. You should get some sleep. You should get some sleep.,You should sleep. You should sleep. You should sleep. You should sleep. You should sleep.,You should go to sleep. It's better to cook.,You should sleep.
29,1312,I'm going to go.,I'm gonna go. I'm gonna go. I'm gonna go.,I'm gonna go. I'm gonna go. I'm gonna go. I'm gonna go.,I'll go. I'll go after.,I'm gonna go.
