,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
1,1277,I have to go to sleep.,I gotta go to bed.I gotta go to bed.,I have to go to sleep.,I must go to bed. | I must go to bed. | I must go to bed.,I have to go to sleep. | I have to go to sleep.,I have to sleep now. | I have to sleep.,I have to go to sleep. | I have to go to sleep.,I gotta go to sleep. | I gotta go to sleep.,I have to go to bed. | I have to go to bed. | I have to go to bed.,I have to go to sleep.,It's time for me to go to bed. | I have to go to bed. | I have to go to bed. | I have to go to bed.,I have to go to sleep. | I'm going to sleep. | I have to go to sleep. | I have to go to sleep.,I have to go to sleep. | I have to sleep.,I have to go to sleep. | I have time to go to sleep. | I have to go to sleep.
3,1282,Muiriel is 20 now.,Muiriel is now 20 years old.,Muiriel is now 20 years old.,Muiriel is now twenty-two. | Muiriel is now twenty-two. | Muiriel is now twenty-two. | Muiriel is now twenty-two. | Muiriel is now twenty-two. | Muiriel is now twenty-two. | Muiriel is now twenty-two. | Muiriel is now twenty-two. | Muiriel is now twenty-two. | Muiriel is now twenty-two. | Muiriel is now twenty-two. | Muiriel is now twenty-two. | Muiriel is now twenty-two. | Muiriel is now twenty-two. | Muiriel is now twenty-two. | Muiriel is now twenty-two. | Muiriel is now twenty-two. | Muiriel is now twenty-two.,Muiriel is now 20 years old.,Muiriel is now 20.,Muriel's 20 now. | Muriel's 20 now.,Muiriel is 20 now. | Muiriel is 20 now. | Muiriel is 20 now. | Muiriel is 20 now.,Muriel is 20 years old now. | Muriel is 20 years old now.,Muiriel is now 20 years old.,Muriel is now 20.,Now Muiriel is 20 years old. | Muiriel is 20 years old now.,Muiriel is now 20. | Muiriel is now 20.,Muriel's 20 now. Muriel's 20 now. Muriel's 20.
4,1283,"The password is ""Muiriel"".","The code is ""Muiriel"". | The code is ""Muiriel"".","The password is ""Muiriel.""",The secret word is 'Muiriel'. | The secret word is 'Muiriel'.,"The password is ""Email"".","The password is ""mail"". | The password is ""mail"". | The password is ""mail"".","The password is ""Muiriel."" | The password is ""Muiriel."" | The password is ""Muiriel.""","The access word is ""mail."" | The password is ""mail.""","The password is ""Muiriel"".","The password is ""Muiriel"". | The password is ""Muiriel"".","""Muiriel"".","The password is ""Email"".","Letter ""Muiriel"". | Parole ""Muiriel"". | Letter ""Muiriel "" dir.","The password is """" email. """" | The password is """" email. """" | The password is """" email. """""
5,1284,I will be back soon.,I'll be back soon.,I'm so back.,I'll be back soon. | I'll be back soon. | I'll be back soon. | I'll be back quickly. | I'll be back quickly. | I'll be back soon. | I'll be back soon. | I'll be back soon. | I'll be back soon. | I'll be back quickly. | I'll be back soon.,I'll be back soon. | I'll be back in a minute. | I'll come back right away. | I'll come back quickly. | I'll come back right away.,I'll be back soon. | I'll be back soon. | I'll be back soon. | I'll be back soon. | I'll be back soon. | I'll be back soon. | I'll be back soon. | I'll be back soon. | I'll be back soon! | I'll be back soon!,I'll be back soon. | I'll be back soon. | I'll be back soon. | I'm already back.,I'll be back soon. I'll be back soon. I'll be back soon. I'll be back soon. I'll be back soon. I'll be back soon. I'll be back soon.,I'll be back soon.I'll be back soon.I'll be back soon.I'll be back soon.I'll be back soon.I'll be back soon.I'll be back soon.I'll be back soon.,I'll be back soon. I'll be back soon. I'll be back soon.,I'll be back soon. | I'll be back soon. | I'll be back soon.,I'll be back soon. | I'll be back soon. | I'll be back soon.,I'll be back soon. | I'll be back soon.,I'm coming back soon. | I'm coming back soon. | I'm coming back quickly. | I'm coming back soon. | I'm coming back now.
6,1286,I'm at a loss for words.,I don't know what to say.,I don't have words for it. | Words scare me.,I cannot find words. | I cannot find words. | I cannot find words. | I cannot say words. | I cannot say words. | I cannot say words. | I cannot say words. | I cannot say words. | I cannot say words. | I cannot say words. | I cannot say words. | I cannot say words. | I cannot say words.,I lose my words. | Words are missing. | I don't find the words. | Words are missing.,I don't find words. | I miss the words. | I don't know what to say. | I'm speechless.,I don't have words. I don't know what to say. I don't know what to say. I don't know what to say. I don't know what to say.,I'm speechless. | I'm speechless. | I'm speechless.,I don't know what to say. | I'm stuck with words. | I've lost my words.,I have no words.,I don't have words. | I can't pick words.,I do not have words. | I do not know what to say. | I do not have words.,I can't find a word to say. | I can't find a word to say. | I don't know what I'm going to say.,I don't have words. | I don't know what to say. | I can't find words. | I don't even know what to say... | I don't know what to say...
7,1287,This is never going to end.,It won't end forever.It will go on forever.It won't end forever.,This is never going to end. | This is never going to end.,This will never end. | This will never end. | This will never end. | This will never end.,It will never end. | It will never end. | It will never end again.,It never ends. | It never ends. | It never stops! | It never stops.,It will never end.,This is never going to end. | This is never going to end.,there's no clue.,It will never end.,It never ends. | It never ends.,This will never end. | This will never end. | This will never end. | This will never end.,It will never go to the end. | It will never end.,It's never going to end.
8,1288,I just don't know what to say.,I just don't know what to say. | I just don't know what to say.,I just don't know what to say. | I just don't know what to say.,I do not really know what to say. | I do not know what to say. | I do not know what I would say.,"I just don't know what to say... | I don't know what to say, just. | I don't know what to say. | I don't know what to say.",I just don't know what to say.,I don't know what to say. I just don't know what to say. I just don't know what to say.,I just don't know what to say. | I just don't know what to say. | I just don't know what to say. | I just don't know what to say.,I don't know what to say... | I can't say anything.,I just don't know what to say. | Usually I don't know what to say...,I don't know what to say. | I don't even know what to say... | I don't know what to say.,I simply do not know what to say... | I simply do not know what to say. | I simply do not know what to say. | I do not know what to say.,I don't know what to say yet. | I don't know what to say yet. | I just don't know what to say.,I just don't know what to say. I don't know what to say. I don't even know what to say...
10,1290,I was in the mountains.,I used to be in the mountains.,I was in the mountains.,I was on the mountain. | I was on the mountain.,I was in the mountains. | I was in the mountains. | I was in the mountains.,I was in the mountains.,I was in the mountains. | I was in the mountains. | I was in the mountains.,I was on a mountain. | I was on a mountain.,I was in the mountains.,I was in the mountains.,I was in the mountains | I was in the mountains.,I was in the mountains.,I was in the mountains.,I was in the mountains. | I was in the mountains.
11,1291,Is it a recent picture?,Is that a close-up?,Is this a recent picture?,Is it a new picture? | Is it a new photo?,Is it a recent photo? | Is it a recent photo?,Is this a current photo?,Is this a new picture?,Is it a recent photograph? | Is it a recent photograph? | Is it a recent image?,is that a recent photo?,Is this the current photo?,Is it a new photo? | Is it a recent photo? | Is it a fresh photo?,Is it a recent photo?,Is that a new picture? | Is this a new shot? | Is this a new shot?,Is that a recent picture?
12,1292,I don't know if I have the time.,I don't know if I have any time.,I don't know if I have time. | I don't know if I have time for that.,I do not know if I have time. | I do not know if I have time.,I don't know if I have the time.,I don't know if I have time to do it. | I don't know if I have time. | I don't know if I have the time.,I don't know if I have time. | I don't know if I have time for this. | I don't know if I have time. | I don't know if I have time for this. | I don't know if I have time.,I don't know if I have time.,I don't know if I have time.,I don't know if I have time.,I don't know if I have time. | I don't know if I have time.,I do not know if I have time.,I don't know if it's my time.,I don't know if I'll have time. | I don't know if I'll have time. | I don't know if I have time. | I don't know if I'll have time.
14,1295,You're in better shape than I am.,Your body is better than mine.,You're in a better condition than I am.,You are in better shape than I am.,You are in better shape than I am. | You are in better shape than I am.,You're better in shape than I am.,You're better than me. You're better than me. You're better than me. You're better than me. You're better than me. You're better than me. You're better than me. You're better than me. You're better than me. You're better than me.,You're more shaped than I am. You're more shaped than I am. You're more shaped than I am. You're more shaped than I am. She's more shaped than I am. She's more shaped than I am.,you're in a better position than i am.,You are in a better shape than I am.,You're in better shape than me. | You're in better shape than me.,You are in better shape than I am.,You are more formal than I am.,You're in better shape than I am. | You're in better shape than I am.
15,1296,You are in my way.,You blocked my way.,You're in the way. | You're in the way of me.,You are on my way.,You are on my way. | You are on my way. | You are across my way. | You are across my way.,You are in my way.,You're disturbing me!,You're on my side.,You are disturbing me. | You are disturbing me.,You're on my way.,You're on my way. | You're hurting me. | You're on my way. | You're on my way.,You are on my way.,You're standing in my way. | You're standing in my way.,You're on my way. | You're interrupting me. | You're interrupting me.
16,1298,This will cost €30.,It costs thirty euros.,That's going to cost 30 bucks.,This costs EUR thirty.,It will cost €30. | It will cost €30.,This will cost €30.,It's going to be 30 euros. | It's going to be 30 euros. | It's supposed to be 30 euros. | It's going to be 30 euros.,It's going to cost 30 euros. | This is going to cost 30 euros. | This is going to cost 30 euros.,30 euros.,It will cost €30.,It will cost 30 euros. | It will cost thirty euros.,That will cost EUR 30.,It will cost €30.,It's going to cost 30 euros. | It's going to cost 30 euros. | It's going to cost 30 euros.
