,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
1,1277,I have to go to sleep.,It's time for me to go to bed.,I need to get some sleep.,I have to go to bed.,I have to go to sleep.,I have to sleep now.,I have to go to bed.,I have to go to bed.,I have to go to sleep.,I have to go to sleep.,I have to go to bed.,I have to go to sleep.,I have to go to bed.,I have to go to bed.
3,1282,Muiriel is 20 now.,Muiriel is 20 now.,Muiriel is now 20 years old.,Muiriel is now twenty.,Muiriel is 20 now.,Muiriel is now 20.,Muriel's 20 now.,Muiriel is 20 now.,Mueller is now 20 years old.,Muiriel is now 20 years old.,Muriel is 20 now.,"Now, Muiriel is 20 years old.",Muiriel is now 20 years old.,Muiriel is twenty now.
4,1283,"The password is ""Muiriel"".","The password is ""Muiriel"".","The password is ""Muiriel.""","The password is ""Muiriel"".","The password is ""Muiriel"".","The password is ""Muiriel"".","The password is ""Muriel.""","The password is ""Muiriel.""","The password is ""Muilel.""","The password is ""Muiriel. ""","""Muiriel"" password.","The password is ""Muiriel"".","The code is ""Muiriel.""","The password is ""Muiriel."""
5,1284,I will be back soon.,I'll be back soon.,I'll be right back.,I'll be right back.,I'll be back soon.,I'll be back soon.,I'll be right back.,I'll be right back.,I'll be right back.,I'll be right back.,I'll be right back.,I'll be back soon.,I'll be back soon.,I'll be back soon.
6,1286,I'm at a loss for words.,I don't know what to say.,I don't have any words for it.,I can't find the words.,I'm losing my words.,I can't find words.,I'm speechless.,I'm out of words.,I don't know what to say.,I'm speechless.,I have no words.,I have no words.,I don't know what to say.,I don't know what to say.
7,1287,This is never going to end.,This is never over.,This is never gonna end.,It's never gonna end.,It's never gonna end.,This will never end.,It's never gonna end.,This will never end.,There's no limit.,It's never gonna end.,It's never gonna end.,This will never end.,This will never go away.,It'll never end.
8,1288,I just don't know what to say.,I just don't know what to say.,I just don't know what to say...,I don't know what to say.,I just don't know what to say...,I just don't know what to say.,I don't know what to say.,I don't know what to say.,I don't know what to say.,I just don't know what to say.,I don't know what to say.,I just don't know what to say...,I don't know what to say yet.,I just don't know what to say.
10,1290,I was in the mountains.,I used to be in the mountains.,I was in the mountains.,I was in the mountains.,I was in the mountains.,I was in the mountains.,I was in the mountains.,I was in the mountains.,I was in the mountains.,I was in the mountains.,I was in the mountains.,I was in the mountains.,I was in the mountains.,I was in the mountains.
11,1291,Is it a recent picture?,Is that a close-up?,Is this a recent photo?,Is it a recent picture?,Is this a recent photo?,Is this a current photo?,Is that a new picture?,Is this a recent photo?,Is that a recent photo?,Is this an up-to-date picture?,Is that a new picture?,Is that a recent photo?,Is that a new picture?,Is this a recent photo?
12,1292,I don't know if I have the time.,I don't know if I have time.,I don't know if I have time.,I don't know if I have time for that.,I don't know if I have time.,I don't know if I have time.,I don't know if I have time.,I don't know if I have time.,I don't know if I have time.,I don't know if I have time.,I don't know if I have time.,I don't know if I have time.,I don't know if I have time.,I don't know if I'll have time.
