,index,english,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
1,1277,I have to go to sleep.,I have to go to bed. ♪ I have to go to bed. ♪ I have to go to sleep. ♪ I have to go to bed. ♪ I have to go to bed.,I have to go to sleep. I have to go to sleep. I have to go to sleep.,I have to go to bed. I have to go to sleep.,I have to go to bed.
3,1282,Muiriel is 20 now.,Muriel is 20 now.,"Now, Muiriel is 20 years old.  Muiriel is 20 years old now.",Muiriel is now 20 years old.,Muiriel is now 20 years old. &gt;&gt; Muiriel is now twenty years old. &gt;&gt; Muiriel is now 20.
4,1283,"The password is ""Muiriel"".","""Muiriel"" password.","The password is ""Muiriel"".","The password is ""Muiriel."" The password is ""Muiriel.""","The password is ""Muiriel""."
5,1284,I will be back soon.,I'll be right back. I'll be right back. I'll be right back.,I'll be back soon. I'll be back soon.,I'll be back soon. I'll be back soon.,I'll be right back.
6,1286,I'm at a loss for words.,I don't have words. I can't find words.,I don't have words. I don't know what to say. I lack words.,I have no words. I have no words. I don't know what to say.,I don't know what to say.
7,1287,This is never going to end.,It's never gonna end. ♪ It's never gonna end.,This will never end. It will never end. It will never end. It will never end. It will never end.,This will never go away. This will never end.,It'll never end.
8,1288,I just don't know what to say.,I don't know what to say. ♪ I don't even know what to say... ♪ I just don't know what to say.,I just don't know what to say... I just don't know what to say. I just don't know what to say. I don't know what to say.,I don't know what to say yet. I just don't know what to say.,I just don't know what to say.
10,1290,I was in the mountains.,I was in the mountains. I was in the mountains.,I was in the mountains.,I was in the mountains.,I was in the mountains.
11,1291,Is it a recent picture?,Is this a new picture? ♪ It's a recent picture? ♪ It's a fresh picture?,Is that a recent photo?,Is that a new picture? Is that a recent picture? Is that a new photo?,Is this a recent photo?
12,1292,I don't know if I have the time.,I don't know if I have time. I don't know if I'll have time.,I don't know if I have time.,I don't know if I have time.,I don't know if I have time.
14,1295,You're in better shape than I am.,You're in better shape than I am. You're in better shape than I am.,You're in better shape than me.,You're in better shape than I am.,You're in better shape than I am.
15,1296,You are in my way.,You are in my way. You are in my way. You are in my way.,You're on my way.,You're in my way. You're in my way.,You're on my way.
16,1298,This will cost €30.,It's gonna cost 30 euros. ♪ It's gonna cost thirty euros.,That's going to cost 30 €.,This is going to cost £30.,This will cost 30 euros.
17,1299,I make €100 a day.,I make a hundred euros a day. ♪ I make 100 euros a day.,I earn €100 a day.,I earn 100 euros a day.,I make 100 euros a day.
20,1302,That won't happen.,It's not gonna happen. ♪ It's not gonna happen. ♪ It's not gonna happen. ♪ It's not gonna happen. ♪ It's not gonna happen. ♪ It's not gonna happen. ♪ It's not gonna happen. ♪ It's not gonna happen.,That won't happen. That won't happen. That won't happen.,It's not gonna happen.,It won't happen..........
22,1304,I'll do my best not to disturb your studying.,I'll try not to stop you from studying. ♪ I'll try not to distract you from studying.,I will try my best not to disturb your study. I will do my best not to disturb your study. I will do my best not to disturb your study.,I will do my best not to interrupt your work. I will do my best not to disturb your work.,I'll do whatever I can to keep you from studying.
25,1308,I miss you.,♪ I miss you ♪ ♪ I miss you ♪ ♪ I miss you ♪ ♪ I miss you ♪ ♪ I miss you ♪ ♪ I miss you ♪ ♪ I miss you ♪ ♪ I miss you ♪ ♪ I miss you ♪ ♪ I miss you ♪ ♪ I miss you ♪ ♪ I miss you ♪,I miss you. I miss you. I miss you.,I miss you. I miss you.,I miss you.
26,1309,I'll call them tomorrow when I come back.,I'll call them tomorrow when I get home.,I'll call you when I get back tomorrow. I'll call you tomorrow when I get back.,I'll call them when I get back tomorrow. I'll call them tomorrow when I get back.,I'll call them tomorrow when I get back.
28,1311,You should sleep.,You better get some sleep. ♪ You need to sleep. ♪ You need to sleep. ♪ You need to sleep. ♪,You should sleep.,You need to sleep.,You'd better sleep.
29,1312,I'm going to go.,I'm gonna go. ♪ I'm gonna go. ♪ I'm gonna go. ♪ I'm gonna go. ♪ I'm gonna go. ♪ I'm gonna go.,I'm going.,I'm going. I'm going.,I'm leaving.
30,1313,I told them to send me another ticket.,I told them to send me another ticket.,I told them to send me another ticket. I told them to send me another ticket.,I told them to send me another ticket. I told them to send me another ticket.,I told them to send me another ticket.
33,1316,I once wanted to be an astrophysicist.,Once I wanted to be an astrophysicist. ♪ Once I wanted to be an astrophysicist.,I wanted to be an astrophysicist once.,I wanted to be an astrophysicist once.,I used to want to be an astrophysicist.
34,1317,I never liked biology.,I never liked biology. ♪ I never liked biology. ♪ I never liked biology. ♪ I never liked biology. ♪ I never liked biology.,I never liked biology.,I never liked biology.,I never liked biology.
35,1318,The last person I told my idea to thought I was nuts.,The last person I told my idea to think I was crazy.,The last person I told my idea to thought I was crazy.,The last person I told my idea to thought I was crazy.,The last person I told my idea to decided that I was crazy.
37,1320,It is unfortunately true.,"Unfortunately, it's true. Unfortunately, it's true.","Unfortunately it is true.  Unfortunately, that is true.  Unfortunately, that is true.","Unfortunately, that's true.","Unfortunately, that's true."
39,1322,Most people think I'm crazy.,Most people think I'm crazy. ♪ Most people think I'm crazy. ♪ Most people think I'm crazy. ♪ Most people think I'm crazy.,Most people think I'm crazy.  Most people think I'm crazy.  Most people think I'm crazy.  Many people think I'm crazy. Many people think I'm crazy. Many people think I'm crazy.,A lot of people think I'm crazy.,Most people think I'm crazy.
42,1325,He's kicking me!,He's kicking me!,He's kicking me! He's kicking me!,He's kicking me!,He's kicking me!
43,1326,Are you sure?,Are you sure? Are you sure? Are you sure? Are you sure?,Are you sure? are you sure? are you sure? are you sure? are you sure? are you sure? are you sure? are you sure? are you sure? are you sure?,Are you sure?,Are you sure?
45,1328,"Oh, there's a butterfly!","Oh, there's a butterfly! ♪ Oh, look, a butterfly! ♪ Oh, there's a butterfly!","Ah, there's a butterfly!","Ah, there's a butterfly!",Look at the butterfly!
46,1329,Hurry up.,Hurry up! Hurry up! Hurry up! Hurry up! Hurry up!,Hurry up! Hurry up. Hurry up. Hurry up. Hurry up.,Hurry up!,"Come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on."
47,1330,It doesn't surprise me.,It's not surprising. It doesn't surprise me.,I'm not surprised.,He doesn't surprise me.,That doesn't surprise me.
49,1333,It depends on the context.,It depends on the context. ♪ Depends on the context.,It depends on the context. It depends on the context. It depends on the context.,This depends on the context.,That depends on the context.
51,1335,That's the stupidest thing I've ever said.,It's the dumbest thing I've ever said. It's the most stupid thing I've ever said.,It's the stupidest thing I've ever said. It's the stupidest thing I've ever said.,That's the stupidest thing I've ever said.,This is the biggest nonsense I've ever said.
53,1337,"When I grow up, I want to be a king.","When I grow up, I want to be king. ♪ I want to be king when I grow up.","When I grow up, I want to be a king. I want to be king when I grow up.","When I grow up, I want to be a king.",I want to be a king when I grow up.
56,1340,So what?,So what?,So what? So what? What about me?,So what should we do? So what? So what? So what?,So what?
61,1345,I've always wondered what it'd be like to have siblings.,I've always wondered what it's like to have brothers and sisters. ♪ I've always wondered what it's like to have brothers and sisters.,I've always wondered what it's like to have brothers.,I've always wondered what it was like to have brothers.,I've always wondered what it was like to have brothers and sisters.
63,1347,It would take forever for me to explain everything.,It would take me forever to explain everything.,It would take me forever to explain everything to you.,It'll take me forever to explain everything.,I'll need eternity to explain everything.
64,1348,That's because you're a girl.,That's because you're a girl. ♪ That's because you're a girl.,That's because you're a girl. That's because you're a girl. That's because you're a girl.,It's because you're a girl.,It's because you're a girl.
79,1363,I thought you liked to learn new things.,I thought you liked learning new things.,I thought you liked to learn new things.,I thought you liked to learn new things.,I thought you liked learning new things.
80,1364,Most people write about their daily life.,Most people write about their daily lives.,Most people write about their daily lives.,Most people write about their daily lives.,Most people take notes every day about life.
82,1366,"In order to do that, you have to take risks.","You have to take the risk to do it. ♪ To do it, you have to take the risk.","To do that, you have to risk it.","To do that, you have to take risks. You have to take risks to do that.",You've got to risk doing that.
84,1368,Why do you ask?,Why do you ask? Why do you ask? Why do you ask?,Why do you ask?,Why do you ask? Why do you ask? Why do you ask?,And why are you asking?..................
89,1373,How long did you stay?,How long were you there?,How long were you?,How long did you stay?,How long have you been there?
95,1379,That is intriguing.,That's interesting.,That's intriguing.,That's interesting.,This is intriguing.
102,1386,I didn't like it.,I didn't like it. I didn't like it.,I didn't like it. I didn't like it.,I don't like him.,I didn't like it.
111,1395,I have to go to bed.,I have to go to bed.,I have to go to bed. I have to go to bed.,I have to go to bed. I have to go to bed.,I have to go to bed.
118,1402,That wasn't my intention.,It wasn't my intention.,I didn't mean to. I didn't mean to.,That was not my intention.,That wasn't my intention.
119,1403,Thanks for your explanation.,Thank you for the explanation. Thank you for the explanation. Thank you for the explanation.,Thank you for your explanation.,Thank you for your explanation.,Thank you for explaining.
123,1408,I don't know what you mean.,I don't know what you mean. ♪ I don't know what you mean. ♪ I don't know what you mean.,I don't know what you mean.,I don't know what you mean.,I don't know what you mean.
132,1417,I need to ask you a silly question.,I need to ask you a stupid question.,I need to ask you a silly question.,I need to ask you a stupid question. I need to ask you a stupid question.,I need to ask you a stupid question.
136,1421,No one will know.,No one will know.,No one will know.,No one will know. No one will know.,No one will know.
138,1423,It seems interesting to me.,♪ I think it's interesting ♪ ♪ I think it's interesting ♪,I think it's interesting!,That seems interesting to me.,That seems interesting to me.
140,1425,I like candlelight.,I love candlelight. ♪ I like candlelight.,I like candlelight. I like candlelight.,I like candlelight.,I like candlelight.
149,1434,I love you.,♪ I love you ♪ ♪ I love you ♪ ♪ I love you ♪ ♪ I love you ♪ ♪ I love you ♪ ♪ I love you ♪ ♪ I love you ♪ ♪ I love you ♪ ♪ I love you ♪ ♪ I love you ♪ ♪ I love you ♪,I love you. I love you. I love you. I love you. I love you. I love you.,I love you. I love you! I love you!,I love you. I love you.
151,1436,I am curious.,I'm curious. ♪ I'm curious. ♪ I want to know. ♪ I wonder. ♪ I'm curious. ♪ I'm curious.,I'm curious. I'm curious. I want to know.,I'm curious.,I want to know.
152,1437,Congratulations!,Congratulations. Congratulations.,Congratulations! Congratulations!,Congratulations! Congratulations!,"Congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations."
153,1438,I don't want to wait that long.,I don't want to wait so long. ♪ I don't want to wait so long. ♪ I don't want to wait so long. ♪ I don't want to wait so long. ♪ I don't want to wait so long.,I don't want to wait that long. I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long.
154,1439,Why don't you come visit us?,Why don't you come visit us?,Why don't you come and visit us? Why don't you come and visit us? Why don't you come and visit us?,Why don't you come visit us?,Why don't you come over here?
159,1445,I hate chemistry.,I hate chemistry. I hate chemistry.,I hate chemistry. I hate chemistry.,I hate chemistry.,I don't like chemistry.
165,1451,I have nothing better to do.,I don't have anything else to do.,I have nothing better to do.,I have nothing better to do.,I don't have anything else to do.
166,1452,I can't explain it either.,I can't explain it either. ♪ I can't explain it either. ♪ I can't explain it either.,I can't explain it either. I can't explain it either. I can't explain it either. I can't explain it either.,I can't explain that either.,And I can't explain it either.
167,1453,Everyone has strengths and weaknesses.,Everyone has strengths and weaknesses.,Everyone has strengths and weaknesses.,Everyone has their strengths and weaknesses.,Everyone has strengths and weaknesses.
172,1459,I don't know if I still have it.,I don't know if I still have it. ♪ I don't know if I still have it. ♪ I don't know if I still have it. ♪ I don't know if I still have it. ♪ I don't know if I still have it. ♪ I don't know if I still have it. ♪ I don't know if I still have it.,I don't know if I still have it.,I don't know if I still have it.,I don't know if I still have it.
174,1461,Don't underestimate my power.,Don't underestimate my powers.,Don't underestimate my power.,Don't underestimate my power.,Don't underestimate my power.
175,1462,My mom doesn't speak English very well.,My mom doesn't speak English well enough. ♪ My mom doesn't speak English very well.,My mom doesn't speak English very well.,My mother doesn't speak English very well.,My mother doesn't speak English very well.
